=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42
output=results_bump_opt_baseline

Starting differential evolution: popsize=15, maxiter=20, max_evals=3900
Initial (Claude iter_192-inspired): {'K': 4.0, 'logM': 4.0, 'W': 0.05, 'A1': 0.2, 'A2': 0.3, 'c1': 0.5, 'c2': 0.75, 'w1': 0.04, 'w2': 0.05, 'C': 5.0, 'D': 3.0, 'B1': 0.3, 'B2': 0.5}
[1] AEP=5562.5 feas=True best=5562.5 (69s)
[2] AEP=5562.5 feas=True best=5562.5 (36s)
[3] AEP=5548.6 feas=True best=5562.5 (37s)
[4] AEP=5557.1 feas=True best=5562.5 (36s)
[5] AEP=5561.5 feas=True best=5562.5 (36s)
[6] AEP=5559.9 feas=True best=5562.5 (37s)
[7] AEP=5556.6 feas=True best=5562.5 (36s)
[8] AEP=5560.7 feas=True best=5562.5 (36s)
[9] AEP=5561.5 feas=True best=5562.5 (36s)
[10] AEP=5558.5 feas=True best=5562.5 (37s)
[11] AEP=5556.8 feas=True best=5562.5 (36s)
[12] AEP=5561.8 feas=True best=5562.5 (37s)
[13] AEP=5540.5 feas=False best=5562.5 (37s)
[14] AEP=5562.6 feas=True best=5562.6 (36s)
[15] AEP=5534.2 feas=True best=5562.6 (37s)
[16] AEP=5558.3 feas=True best=5562.6 (37s)
[17] AEP=5563.7 feas=True best=5563.7 (37s)
[18] AEP=5532.7 feas=False best=5563.7 (37s)
[19] AEP=5551.9 feas=True best=5563.7 (37s)
[20] AEP=5553.1 feas=True best=5563.7 (37s)
[21] AEP=5557.7 feas=True best=5563.7 (37s)
[22] AEP=5556.8 feas=True best=5563.7 (37s)
[23] AEP=5560.8 feas=True best=5563.7 (36s)
[24] AEP=5560.6 feas=True best=5563.7 (36s)
[25] AEP=5544.6 feas=False best=5563.7 (37s)
[26] AEP=5555.4 feas=False best=5563.7 (36s)
[27] AEP=5560.6 feas=False best=5563.7 (36s)
[28] AEP=5559.6 feas=True best=5563.7 (37s)
[29] AEP=5562.1 feas=True best=5563.7 (37s)
[30] AEP=5563.2 feas=True best=5563.7 (36s)
[31] AEP=5545.4 feas=False best=5563.7 (37s)
differential_evolution step 1: f(x)= -5563.66
[32] AEP=5556.6 feas=False best=5563.7 (37s)
[33] AEP=5560.2 feas=False best=5563.7 (37s)
[34] AEP=5553.1 feas=True best=5563.7 (37s)
[35] AEP=5562.1 feas=True best=5563.7 (37s)
[36] AEP=5562.0 feas=True best=5563.7 (37s)
[37] AEP=5559.1 feas=True best=5563.7 (36s)
[38] AEP=5560.0 feas=True best=5563.7 (37s)
[39] AEP=5558.6 feas=True best=5563.7 (37s)
[40] AEP=5556.2 feas=True best=5563.7 (36s)
[41] AEP=5561.4 feas=True best=5563.7 (36s)
[42] AEP=5559.5 feas=True best=5563.7 (37s)
[43] AEP=5561.5 feas=True best=5563.7 (36s)
[44] AEP=5562.8 feas=True best=5563.7 (36s)
[45] AEP=5559.2 feas=True best=5563.7 (36s)
[46] AEP=5554.9 feas=True best=5563.7 (36s)
differential_evolution step 2: f(x)= -5563.66
[47] AEP=5560.1 feas=True best=5563.7 (37s)
[48] AEP=5558.7 feas=True best=5563.7 (37s)
[49] AEP=5556.2 feas=True best=5563.7 (37s)
[50] AEP=5560.8 feas=True best=5563.7 (37s)
[51] AEP=5555.7 feas=False best=5563.7 (37s)
[52] AEP=5555.2 feas=True best=5563.7 (37s)
[53] AEP=5563.0 feas=True best=5563.7 (36s)
[54] AEP=5555.0 feas=True best=5563.7 (37s)
[55] AEP=5554.8 feas=True best=5563.7 (37s)
[56] AEP=5561.6 feas=False best=5563.7 (37s)
[57] AEP=5562.2 feas=True best=5563.7 (37s)
[58] AEP=5554.4 feas=True best=5563.7 (37s)
[59] AEP=5561.8 feas=True best=5563.7 (36s)
[60] AEP=5561.2 feas=True best=5563.7 (36s)
[61] AEP=5557.4 feas=True best=5563.7 (37s)
differential_evolution step 3: f(x)= -5563.66
[62] AEP=5559.2 feas=False best=5563.7 (36s)
[63] AEP=5541.1 feas=False best=5563.7 (37s)
[64] AEP=5536.7 feas=True best=5563.7 (37s)
[65] AEP=5558.9 feas=True best=5563.7 (37s)
[66] AEP=5551.4 feas=True best=5563.7 (37s)
[67] AEP=5559.5 feas=True best=5563.7 (36s)
[68] AEP=5560.5 feas=False best=5563.7 (37s)
[69] AEP=5559.8 feas=True best=5563.7 (37s)
[70] AEP=5550.0 feas=True best=5563.7 (37s)
[71] AEP=5559.2 feas=False best=5563.7 (37s)
[72] AEP=5554.7 feas=True best=5563.7 (37s)
[73] AEP=5561.4 feas=True best=5563.7 (37s)
[74] AEP=5555.4 feas=True best=5563.7 (37s)
[75] AEP=5560.6 feas=True best=5563.7 (36s)
[76] AEP=5556.5 feas=True best=5563.7 (36s)
differential_evolution step 4: f(x)= -5563.66
[77] AEP=5561.4 feas=True best=5563.7 (36s)
[78] AEP=5554.8 feas=False best=5563.7 (36s)
[79] AEP=5559.1 feas=True best=5563.7 (36s)
[80] AEP=5563.7 feas=True best=5563.7 (36s)
[81] AEP=5558.0 feas=True best=5563.7 (37s)
[82] AEP=5554.3 feas=True best=5563.7 (37s)
[83] AEP=5559.2 feas=True best=5563.7 (37s)
[84] AEP=5557.8 feas=True best=5563.7 (36s)
[85] AEP=5531.7 feas=False best=5563.7 (37s)
[86] AEP=5560.5 feas=True best=5563.7 (37s)
[87] AEP=5560.7 feas=True best=5563.7 (36s)
[88] AEP=5556.7 feas=True best=5563.7 (36s)
[89] AEP=5521.3 feas=False best=5563.7 (36s)
[90] AEP=5558.8 feas=False best=5563.7 (36s)
[91] AEP=5559.3 feas=True best=5563.7 (36s)
differential_evolution step 5: f(x)= -5563.71
[92] AEP=5556.9 feas=True best=5563.7 (36s)
[93] AEP=5562.5 feas=True best=5563.7 (36s)
[94] AEP=5553.8 feas=True best=5563.7 (37s)
[95] AEP=5562.8 feas=True best=5563.7 (36s)
[96] AEP=5562.4 feas=False best=5563.7 (36s)
[97] AEP=5532.2 feas=True best=5563.7 (37s)
[98] AEP=5564.2 feas=True best=5564.2 (36s)
[99] AEP=5556.4 feas=True best=5564.2 (37s)
[100] AEP=5556.2 feas=True best=5564.2 (37s)
[101] AEP=5552.5 feas=True best=5564.2 (37s)
[102] AEP=5541.9 feas=True best=5564.2 (37s)
[103] AEP=5550.9 feas=True best=5564.2 (37s)
[104] AEP=5559.9 feas=True best=5564.2 (36s)
[105] AEP=5560.7 feas=True best=5564.2 (37s)
[106] AEP=5560.4 feas=True best=5564.2 (38s)
differential_evolution step 6: f(x)= -5564.19
[107] AEP=5548.5 feas=True best=5564.2 (37s)
[108] AEP=5560.0 feas=True best=5564.2 (37s)
